feature1,feature2,correlation_mean,correlation_std,shapiro_p_value,is_normal,positive_proportion,negative_proportion,ci_95,correlated,correlation_type
calc_decay_time_0.2_0.8 s,force_rise_time_0.2_0.8 s,0.2433,0.0632,0.3466,True,0.999,0.001,"(0.117, 0.362)",True,positive
calc_decay_time_0.2_0.8 s,force_rise_time_0.8_max s,0.0417,0.0651,0.6471,True,0.733,0.267,"(-0.087, 0.172)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_decay_time_max_0.8 s,-0.1405,0.0653,0.1372,True,0.012,0.988,"(-0.266, -0.02)",True,negative
calc_decay_time_0.2_0.8 s,force_decay_time_0.2_0.8 s,-0.0231,0.0666,0.1351,True,0.366,0.634,"(-0.147, 0.112)",False,inconclusive
calc_decay_time_0.2_0.8 s,calc_peak_amplitude,0.2463,0.0672,0.9335,True,1.0,0.0,"(0.111, 0.376)",True,positive
calc_decay_time_0.2_0.8 s,calc_width_0.5 s,0.3752,0.0579,0.2358,True,1.0,0.0,"(0.262, 0.485)",True,positive
calc_decay_time_0.2_0.8 s,calc_width_0.2 s,0.8654,0.0211,0.0,False,1.0,0.0,"(0.82, 0.902)",True,positive
calc_decay_time_0.2_0.8 s,calc_width_0.8 s,-0.0162,0.0659,0.8971,True,0.394,0.606,"(-0.15, 0.11)",False,inconclusive
calc_decay_time_0.2_0.8 s,calc_rise_time_0.2_0.8 s,-0.1844,0.07,0.7499,True,0.001,0.999,"(-0.326, -0.054)",True,negative
calc_decay_time_0.2_0.8 s,calc_rise_time_0.8_max s,-0.2531,0.0662,0.1637,True,0.0,1.0,"(-0.377, -0.119)",True,negative
calc_decay_time_0.2_0.8 s,calc_decay_time_max_0.8 s,0.2416,0.0669,0.7623,True,1.0,0.0,"(0.108, 0.372)",True,positive
local_frequency[Hz],duration,0.3854,0.0568,0.5096,True,1.0,0.0,"(0.273, 0.498)",True,positive
local_frequency[Hz],force_peak_amplitude,-0.7634,0.0219,0.4139,True,0.0,1.0,"(-0.805, -0.72)",True,negative
local_frequency[Hz],force_width_0.5 s,0.4581,0.0435,0.4433,True,1.0,0.0,"(0.372, 0.541)",True,positive
local_frequency[Hz],force_width_0.2 s,0.4046,0.048,0.3134,True,1.0,0.0,"(0.313, 0.498)",True,positive
local_frequency[Hz],force_width_0.8 s,0.4215,0.0482,0.6048,True,1.0,0.0,"(0.325, 0.517)",True,positive
local_frequency[Hz],force_rise_time_0.2_0.8 s,-0.5929,0.0408,0.0089,False,0.0,1.0,"(-0.671, -0.504)",True,negative
local_frequency[Hz],force_rise_time_0.8_max s,-0.1251,0.0628,0.351,True,0.021,0.979,"(-0.244, -0.003)",True,negative
local_frequency[Hz],force_decay_time_max_0.8 s,0.4968,0.0418,0.0237,False,1.0,0.0,"(0.41, 0.573)",True,positive
local_frequency[Hz],force_decay_time_0.2_0.8 s,0.3917,0.0493,0.0454,False,1.0,0.0,"(0.292, 0.483)",True,positive
local_frequency[Hz],calc_peak_amplitude,-0.4783,0.0435,0.0661,True,0.0,1.0,"(-0.562, -0.391)",True,negative
local_frequency[Hz],calc_width_0.5 s,-0.2762,0.0566,0.8432,True,0.0,1.0,"(-0.384, -0.168)",True,negative
local_frequency[Hz],calc_width_0.2 s,-0.4675,0.0526,0.0146,False,0.0,1.0,"(-0.574, -0.369)",True,negative
local_frequency[Hz],calc_width_0.8 s,-0.1534,0.063,0.3333,True,0.01,0.99,"(-0.27, -0.025)",True,negative
local_frequency[Hz],calc_rise_time_0.2_0.8 s,0.4433,0.0529,0.4189,True,1.0,0.0,"(0.339, 0.549)",True,positive
local_frequency[Hz],calc_rise_time_0.8_max s,0.2881,0.0616,0.1619,True,1.0,0.0,"(0.159, 0.407)",True,positive
local_frequency[Hz],calc_decay_time_max_0.8 s,-0.4739,0.0545,0.0,False,0.0,1.0,"(-0.57, -0.356)",True,negative
local_frequency[Hz],calc_decay_time_0.2_0.8 s,-0.5842,0.0454,0.1976,True,0.0,1.0,"(-0.671, -0.496)",True,negative
