feature_pair,feature1,feature2,thesis_feature_pair,id
force_decay_time_0.2_0.8 s vs force_width_0.8 s,force_decay_time_0.2_0.8 s,force_width_0.8 s,Force DT 0.2-0.8 [s] vs Force Width 0.8 [s],19
calc_decay_time_0.2_0.8 s vs calc_width_0.5 s,calc_decay_time_0.2_0.8 s,calc_width_0.5 s,Ca$^{2+}$ DT 0.2-0.8 [s] vs Ca$^{2+}$ Width 0.5 [s],20
force_peak_amplitude vs force_width_0.2 s,force_peak_amplitude,force_width_0.2 s,Force Peak Amplitude [mN] vs Force Width 0.2 [s],21
calc_decay_time_0.2_0.8 s vs force_width_0.5 s,calc_decay_time_0.2_0.8 s,force_width_0.5 s,Ca$^{2+}$ DT 0.2-0.8 [s] vs Force Width 0.5 [s],22
calc_width_0.2 s vs calc_width_0.8 s,calc_width_0.2 s,calc_width_0.8 s,Ca$^{2+}$ Width 0.2 [s] vs Ca$^{2+}$ Width 0.8 [s],23
calc_width_0.8 s vs force_decay_time_0.2_0.8 s,calc_width_0.8 s,force_decay_time_0.2_0.8 s,Ca$^{2+}$ Width 0.8 [s] vs Force DT 0.2-0.8 [s],24
calc_decay_time_0.2_0.8 s vs force_decay_time_0.2_0.8 s,calc_decay_time_0.2_0.8 s,force_decay_time_0.2_0.8 s,Ca$^{2+}$ DT 0.2-0.8 [s] vs Force DT 0.2-0.8 [s],25
calc_width_0.8 s vs force_width_0.2 s,calc_width_0.8 s,force_width_0.2 s,Ca$^{2+}$ Width 0.8 [s] vs Force Width 0.2 [s],26
calc_width_0.5 s vs force_peak_amplitude,calc_width_0.5 s,force_peak_amplitude,Ca$^{2+}$ Width 0.5 [s] vs Force Peak Amplitude [mN],27
force_peak_amplitude vs force_width_0.5 s,force_peak_amplitude,force_width_0.5 s,Force Peak Amplitude [mN] vs Force Width 0.5 [s],28
calc_width_0.2 s vs force_peak_amplitude,calc_width_0.2 s,force_peak_amplitude,Ca$^{2+}$ Width 0.2 [s] vs Force Peak Amplitude [mN],29
calc_width_0.8 s vs force_width_0.5 s,calc_width_0.8 s,force_width_0.5 s,Ca$^{2+}$ Width 0.8 [s] vs Force Width 0.5 [s],30
calc_decay_time_0.2_0.8 s vs force_width_0.8 s,calc_decay_time_0.2_0.8 s,force_width_0.8 s,Ca$^{2+}$ DT 0.2-0.8 [s] vs Force Width 0.8 [s],31
force_decay_time_0.2_0.8 s vs force_peak_amplitude,force_decay_time_0.2_0.8 s,force_peak_amplitude,Force DT 0.2-0.8 [s] vs Force Peak Amplitude [mN],32
calc_decay_time_max_0.8 s vs calc_width_0.8 s,calc_decay_time_max_0.8 s,calc_width_0.8 s,Ca$^{2+}$ DT Max-0.8 [s] vs Ca$^{2+}$ Width 0.8 [s],33
calc_decay_time_0.2_0.8 s vs force_peak_amplitude,calc_decay_time_0.2_0.8 s,force_peak_amplitude,Ca$^{2+}$ DT 0.2-0.8 [s] vs Force Peak Amplitude [mN],34
calc_width_0.8 s vs force_width_0.8 s,calc_width_0.8 s,force_width_0.8 s,Ca$^{2+}$ Width 0.8 [s] vs Force Width 0.8 [s],35
calc_width_0.8 s vs force_peak_amplitude,calc_width_0.8 s,force_peak_amplitude,Ca$^{2+}$ Width 0.8 [s] vs Force Peak Amplitude [mN],36
force_decay_time_max_0.8 s vs force_width_0.5 s,force_decay_time_max_0.8 s,force_width_0.5 s,Force DT Max-0.8 [s] vs Force Width 0.5 [s],37
force_decay_time_max_0.8 s vs force_width_0.8 s,force_decay_time_max_0.8 s,force_width_0.8 s,Force DT Max-0.8 [s] vs Force Width 0.8 [s],38
force_decay_time_max_0.8 s vs force_width_0.2 s,force_decay_time_max_0.8 s,force_width_0.2 s,Force DT Max-0.8 [s] vs Force Width 0.2 [s],39
force_decay_time_0.2_0.8 s vs force_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,force_decay_time_max_0.8 s,Force DT 0.2-0.8 [s] vs Force DT Max-0.8 [s],40
force_decay_time_max_0.8 s vs force_peak_amplitude,force_decay_time_max_0.8 s,force_peak_amplitude,Force DT Max-0.8 [s] vs Force Peak Amplitude [mN],41
calc_width_0.5 s vs force_decay_time_max_0.8 s,calc_width_0.5 s,force_decay_time_max_0.8 s,Ca$^{2+}$ Width 0.5 [s] vs Force DT Max-0.8 [s],42
calc_width_0.2 s vs force_decay_time_max_0.8 s,calc_width_0.2 s,force_decay_time_max_0.8 s,Ca$^{2+}$ Width 0.2 [s] vs Force DT Max-0.8 [s],43
calc_decay_time_max_0.8 s vs calc_width_0.5 s,calc_decay_time_max_0.8 s,calc_width_0.5 s,Ca$^{2+}$ DT Max-0.8 [s] vs Ca$^{2+}$ Width 0.5 [s],44
calc_decay_time_0.2_0.8 s vs force_decay_time_max_0.8 s,calc_decay_time_0.2_0.8 s,force_decay_time_max_0.8 s,Ca$^{2+}$ DT 0.2-0.8 [s] vs Force DT Max-0.8 [s],45
calc_decay_time_0.2_0.8 s vs calc_width_0.8 s,calc_decay_time_0.2_0.8 s,calc_width_0.8 s,Ca$^{2+}$ DT 0.2-0.8 [s] vs Ca$^{2+}$ Width 0.8 [s],46
calc_decay_time_max_0.8 s vs calc_width_0.2 s,calc_decay_time_max_0.8 s,calc_width_0.2 s,Ca$^{2+}$ DT Max-0.8 [s] vs Ca$^{2+}$ Width 0.2 [s],47
calc_width_0.8 s vs force_decay_time_max_0.8 s,calc_width_0.8 s,force_decay_time_max_0.8 s,Ca$^{2+}$ Width 0.8 [s] vs Force DT Max-0.8 [s],48
calc_decay_time_max_0.8 s vs force_width_0.2 s,calc_decay_time_max_0.8 s,force_width_0.2 s,Ca$^{2+}$ DT Max-0.8 [s] vs Force Width 0.2 [s],49
calc_decay_time_max_0.8 s vs force_decay_time_0.2_0.8 s,calc_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,Ca$^{2+}$ DT Max-0.8 [s] vs Force DT 0.2-0.8 [s],50
calc_decay_time_max_0.8 s vs force_width_0.8 s,calc_decay_time_max_0.8 s,force_width_0.8 s,Ca$^{2+}$ DT Max-0.8 [s] vs Force Width 0.8 [s],51
calc_decay_time_max_0.8 s vs force_width_0.5 s,calc_decay_time_max_0.8 s,force_width_0.5 s,Ca$^{2+}$ DT Max-0.8 [s] vs Force Width 0.5 [s],52
calc_decay_time_max_0.8 s vs force_peak_amplitude,calc_decay_time_max_0.8 s,force_peak_amplitude,Ca$^{2+}$ DT Max-0.8 [s] vs Force Peak Amplitude [mN],53
calc_decay_time_max_0.8 s vs force_decay_time_max_0.8 s,calc_decay_time_max_0.8 s,force_decay_time_max_0.8 s,Ca$^{2+}$ DT Max-0.8 [s] vs Force DT Max-0.8 [s],54
calc_decay_time_0.2_0.8 s vs calc_decay_time_max_0.8 s,calc_decay_time_0.2_0.8 s,calc_decay_time_max_0.8 s,Ca$^{2+}$ DT 0.2-0.8 [s] vs Ca$^{2+}$ DT Max-0.8 [s],55
calc_decay_time_0.2_0.8 s vs force_rise_time_0.8_max s,calc_decay_time_0.2_0.8 s,force_rise_time_0.8_max s,Ca$^{2+}$ DT 0.2-0.8 [s] vs Force RT 0.8-Max [s],56
force_rise_time_0.8_max s vs force_width_0.5 s,force_rise_time_0.8_max s,force_width_0.5 s,Force RT 0.8-Max [s] vs Force Width 0.5 [s],57
force_rise_time_0.8_max s vs force_width_0.2 s,force_rise_time_0.8_max s,force_width_0.2 s,Force RT 0.8-Max [s] vs Force Width 0.2 [s],58
calc_width_0.2 s vs force_rise_time_0.8_max s,calc_width_0.2 s,force_rise_time_0.8_max s,Ca$^{2+}$ Width 0.2 [s] vs Force RT 0.8-Max [s],59
force_peak_amplitude vs force_rise_time_0.8_max s,force_peak_amplitude,force_rise_time_0.8_max s,Force Peak Amplitude [mN] vs Force RT 0.8-Max [s],60
force_rise_time_0.8_max s vs force_width_0.8 s,force_rise_time_0.8_max s,force_width_0.8 s,Force RT 0.8-Max [s] vs Force Width 0.8 [s],61
calc_width_0.5 s vs force_rise_time_0.8_max s,calc_width_0.5 s,force_rise_time_0.8_max s,Ca$^{2+}$ Width 0.5 [s] vs Force RT 0.8-Max [s],62
force_decay_time_0.2_0.8 s vs force_rise_time_0.8_max s,force_decay_time_0.2_0.8 s,force_rise_time_0.8_max s,Force DT 0.2-0.8 [s] vs Force RT 0.8-Max [s],63
calc_rise_time_0.2_0.8 s vs force_rise_time_0.2_0.8 s,calc_rise_time_0.2_0.8 s,force_rise_time_0.2_0.8 s,Ca$^{2+}$ RT 0.2-0.8 [s] vs Force RT 0.2-0.8 [s],64
calc_width_0.8 s vs force_rise_time_0.8_max s,calc_width_0.8 s,force_rise_time_0.8_max s,Ca$^{2+}$ Width 0.8 [s] vs Force RT 0.8-Max [s],65
calc_rise_time_0.8_max s vs force_width_0.5 s,calc_rise_time_0.8_max s,force_width_0.5 s,Ca$^{2+}$ RT 0.8-Max [s] vs Force Width 0.5 [s],66
calc_rise_time_0.8_max s vs force_decay_time_0.2_0.8 s,calc_rise_time_0.8_max s,force_decay_time_0.2_0.8 s,Ca$^{2+}$ RT 0.8-Max [s] vs Force DT 0.2-0.8 [s],67
calc_rise_time_0.8_max s vs calc_width_0.2 s,calc_rise_time_0.8_max s,calc_width_0.2 s,Ca$^{2+}$ RT 0.8-Max [s] vs Ca$^{2+}$ Width 0.2 [s],68
