feature1,feature2,correlation_mean,correlation_std,shapiro_p_value,is_normal,positive_proportion,negative_proportion,ci_95,correlated,correlation_type
calc_decay_time_max_0.8 s,calc_width_0.8 s,0.6634,0.08,0.0,False,1.0,0.0,"(0.494, 0.798)",True,positive
calc_decay_time_max_0.8 s,calc_rise_time_0.2_0.8 s,-0.1942,0.1228,0.0266,False,0.062,0.938,"(-0.419, 0.056)",False,inconclusive
calc_decay_time_max_0.8 s,calc_rise_time_0.8_max s,-0.2431,0.1212,0.3585,True,0.022,0.978,"(-0.473, -0.007)",True,negative
calc_decay_time_0.2_0.8 s,duration,-0.4607,0.1159,0.0635,True,0.0,1.0,"(-0.684, -0.233)",True,negative
calc_decay_time_0.2_0.8 s,force_peak_amplitude,-0.7236,0.0567,0.0,False,0.0,1.0,"(-0.818, -0.594)",True,negative
calc_decay_time_0.2_0.8 s,force_width_0.5 s,-0.0164,0.1329,0.6489,True,0.456,0.544,"(-0.271, 0.238)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_width_0.2 s,0.0941,0.1397,0.0004,False,0.761,0.239,"(-0.199, 0.344)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_width_0.8 s,-0.1805,0.1192,0.0409,False,0.065,0.935,"(-0.399, 0.074)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_rise_time_0.2_0.8 s,0.3907,0.1195,0.0,False,0.998,0.002,"(0.141, 0.594)",True,positive
calc_decay_time_0.2_0.8 s,force_rise_time_0.8_max s,0.0728,0.1252,0.9595,True,0.724,0.276,"(-0.169, 0.317)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_decay_time_max_0.8 s,-0.0479,0.131,0.3582,True,0.346,0.654,"(-0.314, 0.219)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_decay_time_0.2_0.8 s,-0.1648,0.1127,0.666,True,0.078,0.922,"(-0.377, 0.058)",False,inconclusive
calc_decay_time_0.2_0.8 s,calc_peak_amplitude,-0.3548,0.1109,0.0006,False,0.003,0.997,"(-0.556, -0.138)",True,negative
calc_decay_time_0.2_0.8 s,calc_width_0.5 s,0.671,0.0811,0.0,False,1.0,0.0,"(0.497, 0.804)",True,positive
calc_decay_time_0.2_0.8 s,calc_width_0.2 s,0.9416,0.0178,0.0,False,1.0,0.0,"(0.9, 0.968)",True,positive
calc_decay_time_0.2_0.8 s,calc_width_0.8 s,0.1869,0.1287,0.0013,False,0.919,0.081,"(-0.089, 0.418)",False,inconclusive
calc_decay_time_0.2_0.8 s,calc_rise_time_0.2_0.8 s,-0.1381,0.1348,0.8968,True,0.151,0.849,"(-0.411, 0.131)",False,inconclusive
calc_decay_time_0.2_0.8 s,calc_rise_time_0.8_max s,0.1989,0.1242,0.025,False,0.936,0.064,"(-0.065, 0.441)",False,inconclusive
calc_decay_time_0.2_0.8 s,calc_decay_time_max_0.8 s,0.1026,0.1367,0.1636,True,0.774,0.226,"(-0.178, 0.361)",False,inconclusive
local_frequency[Hz],duration,0.1935,0.1342,0.6148,True,0.927,0.073,"(-0.063, 0.455)",False,inconclusive
local_frequency[Hz],force_peak_amplitude,0.5173,0.051,0.0,False,1.0,0.0,"(0.394, 0.594)",True,positive
local_frequency[Hz],force_width_0.5 s,-0.2989,0.117,0.0,False,0.011,0.989,"(-0.503, -0.038)",True,negative
local_frequency[Hz],force_width_0.2 s,-0.1948,0.1457,0.0,False,0.111,0.889,"(-0.445, 0.118)",False,inconclusive
local_frequency[Hz],force_width_0.8 s,0.1499,0.1179,0.243,True,0.896,0.104,"(-0.087, 0.367)",False,inconclusive
local_frequency[Hz],force_rise_time_0.2_0.8 s,-0.193,0.1372,0.0272,False,0.078,0.922,"(-0.448, 0.075)",False,inconclusive
local_frequency[Hz],force_rise_time_0.8_max s,-0.1278,0.1258,0.7486,True,0.154,0.846,"(-0.373, 0.113)",False,inconclusive
local_frequency[Hz],force_decay_time_max_0.8 s,-0.0288,0.1257,0.0451,False,0.4,0.6,"(-0.264, 0.22)",False,inconclusive
local_frequency[Hz],force_decay_time_0.2_0.8 s,0.1564,0.1191,0.84,True,0.902,0.098,"(-0.081, 0.392)",False,inconclusive
local_frequency[Hz],calc_peak_amplitude,0.3419,0.106,0.0058,False,0.999,0.001,"(0.124, 0.535)",True,positive
local_frequency[Hz],calc_width_0.5 s,-0.6966,0.0754,0.0,False,0.0,1.0,"(-0.822, -0.529)",True,negative
local_frequency[Hz],calc_width_0.2 s,-0.7121,0.078,0.0,False,0.0,1.0,"(-0.84, -0.536)",True,negative
local_frequency[Hz],calc_width_0.8 s,-0.3531,0.119,0.0001,False,0.006,0.994,"(-0.565, -0.121)",True,negative
local_frequency[Hz],calc_rise_time_0.2_0.8 s,0.244,0.1321,0.074,True,0.963,0.037,"(-0.032, 0.492)",False,inconclusive
local_frequency[Hz],calc_rise_time_0.8_max s,-0.1172,0.1176,0.0547,True,0.153,0.847,"(-0.336, 0.117)",False,inconclusive
local_frequency[Hz],calc_decay_time_max_0.8 s,-0.3114,0.1152,0.3956,True,0.003,0.997,"(-0.529, -0.082)",True,negative
local_frequency[Hz],calc_decay_time_0.2_0.8 s,-0.7105,0.0756,0.0,False,0.0,1.0,"(-0.833, -0.539)",True,negative
