TSNE1,TSNE2,concentration,data_type,bct_id,drug,frequency[Hz]
-17.317593,0.76959056,0.03,e4031,1.20b_B01,e4031,0.58
-17.105988,0.741557,0.03,e4031,1.20b_B01,e4031,0.58
-13.645205,1.1311257,0.03,e4031,1.20b_B01,e4031,0.58
-15.353954,0.72177833,0.03,e4031,1.20b_B01,e4031,0.58
-17.540594,-1.8896409,0.03,e4031,1.20b_B01,e4031,0.58
-15.462013,0.97830755,0.03,e4031,1.20b_B01,e4031,0.58
-12.963283,-2.931769,0.03,e4031,1.20b_B01,e4031,0.58
-12.985334,0.17654215,0.03,e4031,1.20b_B01,e4031,0.58
-13.631838,-2.4228585,0.03,e4031,1.20b_B01,e4031,0.58
-16.735273,0.35680553,0.03,e4031,1.20b_B01,e4031,0.58
-14.064543,-3.0936751,0.03,e4031,1.20b_B01,e4031,0.58
-14.23752,-3.2888215,0.03,e4031,1.20b_B01,e4031,0.58
-12.462153,-0.08348293,0.03,e4031,1.20b_B01,e4031,0.58
-12.807634,0.37322253,0.03,e4031,1.20b_B01,e4031,0.58
-13.311051,-3.2786992,0.03,e4031,1.20b_B01,e4031,0.58
-2.9266422,13.70668,0.01,nifedipine,1.28b_B02,nifedipine,0.34
4.480541,20.599873,0.01,nifedipine,1.28b_B02,nifedipine,0.34
2.219824,18.973978,0.01,nifedipine,1.28b_B02,nifedipine,0.34
0.92791045,17.58349,0.01,nifedipine,1.28b_B02,nifedipine,0.34
3.8253307,18.761389,0.01,nifedipine,1.28b_B02,nifedipine,0.34
3.225214,19.930395,0.01,nifedipine,1.28b_B02,nifedipine,0.34
4.137626,17.101156,0.01,nifedipine,1.28b_B02,nifedipine,0.34
-3.0973303,13.298223,0.01,nifedipine,1.28b_B02,nifedipine,0.34
7.096485,18.590168,0.01,nifedipine,1.28b_B02,nifedipine,0.34
4.115907,15.096302,0.01,nifedipine,1.28b_B02,nifedipine,0.34
3.0506685,19.080639,0.01,nifedipine,1.28b_B02,nifedipine,0.34
3.7087505,15.928487,0.01,nifedipine,1.28b_B02,nifedipine,0.34
3.4172707,15.561019,0.01,nifedipine,1.28b_B02,nifedipine,0.34
3.6504664,19.37991,0.01,nifedipine,1.28b_B02,nifedipine,0.34
2.6768765,19.822458,0.01,nifedipine,1.28b_B02,nifedipine,0.34
2.8876204,19.006275,0.01,nifedipine,1.28b_B02,nifedipine,0.34
4.4083567,16.53767,0.01,nifedipine,1.28b_B02,nifedipine,0.34
0.620269,12.095609,0.01,nifedipine,1.28b_B02,nifedipine,0.34
-30.392025,13.159981,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-32.393013,9.42845,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-30.39471,11.439176,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-30.387245,12.450361,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-31.903767,13.080041,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-29.927523,12.458392,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-32.005024,10.437005,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-30.376976,11.615583,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-28.831171,10.245795,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-28.957859,12.35705,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-30.5773,12.370686,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-31.78445,12.038023,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-30.00894,11.943419,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-31.301682,13.174342,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-31.55247,10.11383,0.03,nifedipine,1.28b_B02,nifedipine,0.3
-29.738403,10.645648,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-30.555355,10.871428,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-33.51518,9.542502,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-32.819096,10.097648,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-33.825,11.174025,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-29.22321,13.5741205,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-31.516315,11.485829,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-32.863358,13.377822,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-33.275696,13.381348,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-32.343292,10.86793,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-33.247616,11.781819,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-34.67079,12.704,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-30.799557,9.857317,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-30.202726,10.968345,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-33.226032,11.237273,0.1,nifedipine,1.28b_B02,nifedipine,0.3
-34.175564,11.818217,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-37.35071,10.580857,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-37.875027,11.747973,0.2,nifedipine,1.28b_B02,nifedipine,0.36
